test,test,test,test,1,111111111111111111111111111111
Lima,Santiago,Directo,26-11-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,18-08-2026,250,111111111111111111111111111111
Buenos Aires,Sao Paulo,Directo,21-04-2026,200,111111111111111111111111111111
Sao Paulo,Buenos Aires,Directo,01-04-2026,200,111111111111111111111111111111
Lima,Cusco,Directo,18-07-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,28-03-2026,300,111111111111111111111111111111
Piura,Lima,Directo,19-02-2026,100,111111111111111111111111111111
Lima,Piura,Directo,12-09-2026,100,111111111111111111111111111111
Lima,Santiago,Directo,14-03-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,27-08-2026,250,111111111111111111111111111111
Santiago,Buenos Aires,Directo,22-08-2026,150,111111111111111111111111111111
Buenos Aires,Santiago,Directo,10-03-2026,150,111111111111111111111111111111
Lima,Santiago,Directo,28-07-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,05-10-2026,250,111111111111111111111111111111
Lima,Bogota,Directo,22-01-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,28-07-2026,350,111111111111111111111111111111
Cusco,Arequipa,Directo,13-04-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,18-09-2026,80,111111111111111111111111111111
Lima,Bogota,Directo,02-06-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,21-06-2026,350,111111111111111111111111111111
Piura,Lima,Directo,26-08-2026,100,111111111111111111111111111111
Lima,Piura,Directo,20-01-2026,100,111111111111111111111111111111
Cusco,Arequipa,Directo,11-11-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,17-02-2026,80,111111111111111111111111111111
Piura,Lima,Directo,05-10-2026,100,111111111111111111111111111111
Lima,Piura,Directo,07-12-2026,100,111111111111111111111111111111
Buenos Aires,Sao Paulo,Directo,10-02-2026,200,111111111111111111111111111111
Sao Paulo,Buenos Aires,Directo,09-06-2026,200,111111111111111111111111111111
Santiago,Buenos Aires,Directo,17-08-2026,150,111111111111111111111111111111
Buenos Aires,Santiago,Directo,08-07-2026,150,111111111111111111111111111111
Lima,Cusco,Directo,23-09-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,21-12-2026,300,111111111111111111111111111111
Lima,Bogota,Directo,18-06-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,13-02-2026,350,111111111111111111111111111111
Lima,Bogota,Directo,13-01-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,11-08-2026,350,111111111111111111111111111111
Cusco,Arequipa,Directo,12-11-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,13-09-2026,80,111111111111111111111111111111
Cusco,Arequipa,Directo,18-07-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,02-04-2026,80,111111111111111111111111111111
Lima,Arequipa,Directo,24-06-2026,150,111111111111111111111111111111
Arequipa,Lima,Directo,23-05-2026,150,111111111111111111111111111111
Piura,Lima,Directo,08-05-2026,100,111111111111111111111111111111
Lima,Piura,Directo,23-06-2026,100,111111111111111111111111111111
Lima,Bogota,Directo,03-05-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,09-12-2026,350,111111111111111111111111111111
Lima,Bogota,Directo,18-07-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,23-11-2026,350,111111111111111111111111111111
Cusco,Arequipa,Directo,27-06-2026,80,111111111111111111111111111111
Santiago,Buenos Aires,Directo,20-04-2026,150,111111111111111111111111111111
Buenos Aires,Santiago,Directo,03-09-2026,150,111111111111111111111111111111
Lima,Bogota,Directo,24-02-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,07-05-2026,350,111111111111111111111111111111
Lima,Bogota,Directo,07-12-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,21-10-2026,350,111111111111111111111111111111
Lima,Bogota,Directo,13-09-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,28-04-2026,350,111111111111111111111111111111
Lima,Arequipa,Directo,22-11-2026,150,111111111111111111111111111111
Arequipa,Lima,Directo,22-07-2026,150,111111111111111111111111111111
Lima,Santiago,Directo,12-06-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,20-01-2026,250,111111111111111111111111111111
Piura,Lima,Directo,20-06-2026,100,111111111111111111111111111111
Lima,Piura,Directo,27-10-2026,100,111111111111111111111111111111
Santiago,Buenos Aires,Directo,28-01-2026,150,111111111111111111111111111111
Buenos Aires,Santiago,Directo,22-08-2026,150,111111111111111111111111111111
Lima,Bogota,Directo,18-03-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,28-08-2026,350,111111111111111111111111111111
Santiago,Buenos Aires,Directo,28-06-2026,150,111111111111111111111111111111
Buenos Aires,Santiago,Directo,04-07-2026,150,111111111111111111111111111111
Lima,Santiago,Directo,26-08-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,25-01-2026,250,111111111111111111111111111111
Santiago,Buenos Aires,Directo,08-06-2026,150,111111111111111111111111111111
Buenos Aires,Santiago,Directo,01-05-2026,150,111111111111111111111111111111
Cusco,Arequipa,Directo,22-04-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,20-03-2026,80,111111111111111111111111111111
Lima,Arequipa,Directo,14-06-2026,150,111111111111111111111111111111
Arequipa,Lima,Directo,02-07-2026,150,111111111111111111111111111111
Cusco,Arequipa,Directo,28-08-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,20-02-2026,80,111111111111111111111111111111
Lima,Cusco,Directo,07-09-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,10-11-2026,300,111111111111111111111111111111
Lima,Arequipa,Directo,04-05-2026,150,111111111111111111111111111111
Arequipa,Lima,Directo,21-11-2026,150,111111111111111111111111111111
Buenos Aires,Sao Paulo,Directo,14-03-2026,200,111111111111111111111111111111
Sao Paulo,Buenos Aires,Directo,23-09-2026,200,111111111111111111111111111111
Lima,Arequipa,Directo,22-10-2026,150,111111111111111111111111111111
Arequipa,Lima,Directo,18-04-2026,150,111111111111111111111111111111
Cusco,Arequipa,Directo,10-11-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,07-11-2026,80,111111111111111111111111111111
Santiago,Buenos Aires,Directo,17-05-2026,150,111111111111111111111111111111
Buenos Aires,Santiago,Directo,24-05-2026,150,111111111111111111111111111111
Buenos Aires,Sao Paulo,Directo,13-07-2026,200,111111111111111111111111111111
Sao Paulo,Buenos Aires,Directo,27-05-2026,200,111111111111111111111111111111
Lima,Arequipa,Directo,24-05-2026,150,111111111111111111111111111111
Arequipa,Lima,Directo,20-10-2026,150,111111111111111111111111111111
Lima,Cusco,Directo,22-12-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,20-07-2026,300,111111111111111111111111111111
Lima,Arequipa,Directo,24-04-2026,150,111111111111111111111111111111
Arequipa,Lima,Directo,17-08-2026,150,111111111111111111111111111111
Lima,Santiago,Directo,26-08-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,19-08-2026,250,111111111111111111111111111111
Lima,Cusco,Directo,21-04-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,17-01-2026,300,111111111111111111111111111111
Santiago,Buenos Aires,Directo,22-04-2026,150,111111111111111111111111111111
Buenos Aires,Santiago,Directo,04-03-2026,150,111111111111111111111111111111
Cusco,Arequipa,Directo,22-02-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,07-07-2026,80,111111111111111111111111111111
Lima,Santiago,Directo,18-04-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,01-08-2026,250,111111111111111111111111111111
Lima,Arequipa,Directo,20-05-2026,150,111111111111111111111111111111
Arequipa,Lima,Directo,04-08-2026,150,111111111111111111111111111111
Cusco,Arequipa,Directo,09-09-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,01-02-2026,80,111111111111111111111111111111
Lima,Bogota,Directo,25-07-2026,350,111111111111111111111111111111
Bogota,Lima,Directo,15-04-2026,350,111111111111111111111111111111
Lima,Cusco,Directo,09-09-2026,300,111111111111111111111111111111
Cusco,Lima,Directo,05-05-2026,300,111111111111111111111111111111
Lima,Santiago,Directo,25-10-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,11-02-2026,250,111111111111111111111111111111
Cusco,Arequipa,Directo,17-07-2026,80,111111111111111111111111111111
Arequipa,Cusco,Directo,15-09-2026,80,111111111111111111111111111111
Lima,Arequipa,Directo,25-06-2026,150,111111111111111111111111111111
Arequipa,Lima,Directo,22-11-2026,150,111111111111111111111111111111
Lima,Santiago,Directo,04-12-2026,250,111111111111111111111111111111
Santiago,Lima,Directo,13-05-2026,250,111111111111111111111111111111
